"","Bromeliad","Distance","Bearing","Ref_Flag_x","Ref_Flag_y","DO","Temp","PAR","Detritus","Water","Full_Sun","Depth","Width","Volume","Tad_Count","Pool_ID","PercPAR","logPAR","YNGoop","YNTad","L_H","Goop_Cat","Goop_Count"
"44","4",0.45,348,20,5,5.3,29.1,49,"Low","Clear",1300,20,10,600,1,73,3.76923076923077,1.32687094064909,0,1,"High","None",0
"45","4",0.3,348,20,5,5.7,28.3,27,"None","Clear",1190,18,10,640,1,74,2.26890756302521,0.819298465886845,0,1,"High","None",0
"46","4",0.45,2,20,5,4.6,29.6,61,"None","Clear",1500,13,6,240,0,75,4.06666666666667,1.4028236630711,1,0,"High","Low",1
"47","4",0.35,10,20,5,2.8,28.8,115,"None","Turbid",1270,17,10,280,0,76,9.05511811023622,2.2033301348987,1,0,"Middle","High",3
"48","4",0.45,14,20,5,4.7,28.6,94,"Low","Turbid",960,17,10,400,0,77,9.79166666666667,2.28153168379621,1,0,"High","Low",1
"49","5",0.4,215,15,0,5.8,23.1,123,"Low","Clear",1340,19,15,600,0,79,9.17910447761194,2.21692964841555,0,0,"Low","None",0
"50","5",0.55,236,15,0,5.6,23.1,85,"Mid","Turbid",1400,22,12,800,0,80,6.07142857142857,1.80359392687506,0,0,"Low","None",0
"51","5",0.3,220,15,0,4.1,23.8,325,"Low","Turbid",928,23,12,720,0,81,35.0215517241379,3.55596363553163,1,0,"High","Low",1
"52","5",0.45,220,15,0,5.2,23.6,208,"None","Clear",1364,22,13,640,1,82,15.2492668621701,2.724531427286,0,1,"Middle","None",0
"53","5",0.3,240,15,0,4.1,23.7,90,"None","Turbid",1100,15,11,400,0,83,8.18181818181818,2.10191439753189,1,0,"High","Medium",2
"54","5",0.5,218,15,0,5.4,23.6,79,"Low","Clear",1830,20,14,480,0,84,4.31693989071038,1.46254679261965,0,0,"Low","None",0
"55","5",0.25,230,15,0,4.7,23.8,690,"None","Clear",2590,21,14,640,0,85,26.6409266409266,3.28244862888581,1,0,"Middle","Medium",2
"56","5",0.6,240,15,0,4.2,23.3,18,"Hi-Mid","Turbid",760,17,11,440,0,86,2.36842105263158,0.862223510603879,0,0,"Low","None",0
"57","5",0.25,224,15,0,5.5,23.8,170,"Low","Clear",170,15,14,280,0,87,100,4.60517018598809,0,0,"Low","None",0
"58","5",0.45,236,15,0,4.8,24.3,82,"None","Clear",590,17,10,400,0,88,13.8983050847458,2.63176689635258,1,0,"Middle","Low",1
"59","5",0.3,216,15,0,4.9,24.2,186,"None","Clear",186,20,12,440,0,89,100,4.60517018598809,1,0,"Low","Medium",2
"60","5",0.4,248,15,0,4.2,24.1,87,"None","Clear",534,22,13,640,0,90,16.2921348314607,2.79068246568248,1,0,"Middle","Low",1
"61","5",0.5,236,15,0,5.2,23.8,14,"Low","Clear",520,18,15,440,0,91,2.69230769230769,0.990398704027877,0,0,"Low","None",0
"62","5",0.4,236,15,0,4.6,24.3,78,"None","Clear",716,16,9,280,0,92,10.8938547486034,2.38819884571704,0,0,"High","None",0
"63","6",1.3,8,15,5,2.3,23.5,42,"None","Turbid",530,14,11,240,0,94,7.92452830188679,2.06996279772529,1,0,"Low","High",3
"64","6",1.15,10,15,5,2.6,23.3,43,"None","Turbid",460,16,9,400,0,95,9.34782608695652,2.23514381219851,1,0,"Low","High",3
"65","6",1.3,8,15,5,3.3,23.6,91,"None","Turbid",450,18,9,450,0,96,20.2222222222222,3.00678210974058,1,0,"High","Medium",2
"66","6",1.3,12,15,5,1.8,23.3,29,"None","Turbid",430,15,8,240,0,97,6.74418604651163,1.90868080728696,1,0,"Middle","Medium",2
"67","6",1.35,10,15,5,2,23.7,56,"None","Turbid",360,14,8,240,0,98,15.5555555555556,2.74441784527308,1,0,"Middle","Medium",2
"68","6",1.15,4,15,5,3.1,23.3,44,"Mid","Turbid",340,14,12,240,0,99,12.9411764705882,2.56041420229615,1,0,"Low","High",3
